Alan;Haufrect;M
Jakob;Hawkins;M
Phil;Hawn;M
Fumihiro;Hayashi;M
Sterling;Hayden;M
David;Hecht;M
Gary A.;Hecker;M
Don (II);Henderson;M
Drewe;Henley;M
Christopher;Henn;M
Lance;Henriksen;M
Frank;Henson;M
Andrew J.;Hentz;M
Paul (IV);Herbert;M
Richard (I);Herd;M
David (I);Herman;M
Stanley;Herman;M
Jorge R.;Hernandez;M
Miles;Herter;M
Harold G.;Herthum;M
Stephen;Hibbert;M
Bernard;Hill;M
Clint;Hill;M
Scott;Hinds;M
Scott;Hislop;M
Sid;Hoare;M
Jerome Patrick;Hoban;M
Jimmy;Hoffa;M
Robert (X);Hoffman;M
Larry (I);Holden;M
Ryan;Holihan;M
Erik;Holland;M
Ian;Holm;M
David (III);Holt;M
William;Hootkins;M
J. Edgar;Hoover;M
William;Hope;M
Tim;Hopper;M
Roy;Horn;M
J.R.;Horne;M
Bernard;Horsfall;M
John (II);Horton;M
Andrew;Houghton;M
Gary;Houston;M
Michael;Hovinga;M
Keith;How;M
Clint;Howard;M
Jeff (VII);Howard;M
Rance;Howard;M
Tom (II);Howard;M
Arthur (II);Howell;M
Xiaohui;Hu;M
Martin;Hub;M
Zach;Hudson;M
Michael (VII);Hughes;M
Miko;Hughes;M
Tom;Hulce;M
Endre;Hules;M
Hubert H.;Humphrey;M
Bob;Hungerford;M
Jonathan;Hyde;M
Peter;Iacangelo;M
Luis;Icaza;M
Yumi;Ikeda;M
Tommy;Ilsley;M
Angelo;Infanti;M
Ronald;Isaac;M
J.C.;Islander;M
George;Ivey;M
Doug (I);Jackson;M
Jesse (I);Jackson;M
John M.;Jackson;M
Joshua;Jackson;M
Kyle Scott;Jackson;M
Ron (I);Jackson;M
Samuel L.;Jackson;M
Emmett;James;M
Grant (I);James;M
Lennie;James;M
Gabriel;Jarret;M
Martin;Jarvis;M
Steve;Jay;M
Herb;Jefferson Jr.;M
Eddie;Jemison;M
David (II);Jensen;M
DeWayne;Jessie;M
Darren;Joel;M
Rudy;Joffroy;M
Chris (IV);Johnson;M
Lyndon (I);Johnson;M
William (I);Johnson;M
J.J.;Johnston;M
Joe (I);Johnston;M
James Earl;Jones;M
John Randolph;Jones;M
Orlando;Jones;M
Seth Adam;Jones;M
Tommy Lee;Jones;M
Vinnie;Jones;M
Oscar;Jordan;M
John (IX);Joyce;M
John (III);Judd;M
Mike (I);Judge;M
Chuck;Julian;M
Daniel;Kash;M
John (I);Kavanagh;M
Hiroshi (I);Kawashima;M
Joe;Kaye;M
John;Kazek;M
Charlie;Kearns;M
Ryan;Keating;M
Michael;Kehoe;M
Harvey;Keitel;M
Warren (I);Keith;M
J.D.;Kelleher;M
Roy;Kellerman;M
Craig (II);Kelly;M
George (II);Kelly;M
Jason (III);Kelly;M
M.G.;Kelly;M
Phil (I);Kelly;M
Ken;Kemp;M
Tom (I);Kemp;M
Victor;Kempster;M
John;Kennedy Jr.;M
John F.;Kennedy;M
Joseph P.;Kennedy;M
Mike (VI);Kennedy;M
Paul (I);Kennedy;M
Robert F.;Kennedy;M
T.J.;Kennedy;M
Ted (I);Kennedy;M
Douglas;Kenney;M
Tony (I);Kenny;M
Jimmy;Keogh;M
John;Kepley;M
Alan R.;Kessler;M
Nikita;Khrushchev;M
Joon B.;Kim;M
Chris Thomas;King;M
Martin Luther;King;M
Jari (I);Kinnunen;M
James;Kisicki;M
Kazuki;Kitamura;M
Nobuhiko;Kitamura;M
Colin Michael;Kitchens;M
Nao;Kitman;M
Jack;Klaff;M
Vladimir;Klitschko;M
Jeffrey;Kluger;M
Travis (I);Knight;M
Wayne (I);Knight;M
Christopher;Knights;M
Ryo;Kondo;M
Tommy;Kordick;M
Christopher;Kosiciuk;M
Edward (I);Kowalczyk;M
Mark;Kozelek;M
Charlie;Kranz;M
Scott;Krueger;M
Mark;Kubiak;M
Jun;Kunimura;M
Michael;Kuroiwa;M
Naomi;Kusumi;M
Joe;La Due;M
Charles;La Russa;M
Martin (I);Laing;M
Phil;LaMarr;M
Jim;Lampley;M
James;Lancaster;M
Anthony;Lang;M
Odin K.;Langford;M
Edward G.;Lansdale;M
Rob;Lanza;M
John;Larroquette;M
William;Larsen;M
John (I);Laughlin;M
Peter;Lawford;M
Sean;Lawlor;M
Harry (I);Lawrence;M
Matthew (I);Lawrence;M
