Ancylopus pictus Far East of Russia;5.00
Ancyloxypha numitor numitor USA m;3.00
Andela guttata Uzbekistan (W Gissar Mts.) f;12.00
Anemia dentipes Uzbekistan;1.00
Anhammus dalieni Burma A-;5.00
Anisodactylus poeciloides Slovakia;3.00
Anisodactylus pueli bucciarellii Italy;3.00
Anisoplia agricola NE Kazakhstan;1.00
Anisoplia austriaca major Armenia;2.00
Anisoplia cuprina Syria;5.00
Anisoplia faldermanni NW Turkey;2.50
Anisoplia floricola Morocco;2.00
Anisoplia leucaspis Turkmenistan;0.52
Anisoplia segetum balcanicola Greece;2.50
Anisoplia segetum velutina Turkey;2.00
Anisoplia signata Armenia;4.00
Anisoplia syriaca S Ukraine;2.50
Anisoplia tempestiva Italy;2.00
Anisoplia villosa Czech;2.50
Anisotoma humeralis C Russia;2.50
Anochila incilis Madagascar (black colour);2.50
Anomala aegrota NE India (E Sikkim);5.00
Anomala antiqua N Vietnam;2.50
Anomala aulax Vietnam;5.00
Anomala ausonia pampinea Tunis;3.50
Anomala bilobata Myanmar;2.50
Anomala bilunata Vietnam;6.00
Anomala clerica NE India;6.00
Anomala costifera Far East of Russia;4.00
Anomala delavayi China (Yunnan);3.00
Anomala densa Vietnam;5.00
Anomala errans S Russia;0.99
Anomala Euchlora dimidiata NE India;3.00
Anomala Euchlora dimidiata Nepal;2.50
Anomala Euchronomala mongolica Far East of Russia;4.00
Anomala hirsutula Vietnam;4.00
Anomala Idiocnemina gracilenta China;5.00
Anomala lineatipennis Nepal;6.00
Anomala luculenta Far East of Russia;0.99
Anomala merula Nepal;6.50
Anomala ogloblini Far East of Russia;2.00
Anomala oxiana Tadzhikistan;1.99
Anomala pictipes NE India;4.00
Anomala propinqua NE India;5.00
Anomala rufithorax China;7.00
Anomala rufiventris Nepal;3.50
Anomala semicastanea Vietnam;5.00
Anomala solida Greece;3.00
Anomala testacea NE India;2.50
Anomala varicolor Myanmar;3.00
Anomala viridana Far East of Russia;5.00
Anomalocera olivacea China (N Sichuan);3.00
Anoncodes coarctata Far East of Russia;1.00
Anoplodera cyanea Far East of Russia;5.00
Anoplodera rufipes NW Caucasus 10ex;8.00
Anoplodera sexguttata France;3.00
Anoplognathus porosus Australia;3.50
Anoplophora horsfieldi tonkinensis Taiwan;22.00
Anostirus cerrutii Italy;4.00
Anostirus turkestanicus Uzbekistan;3.00
Anotylus complanatus N Caucasus;2.00
Anotylus inustus Italy;2.50
Anotylus nitidulus S Ukraine;1.50
Anotylus tetracarinatus Germany;2.50
Anoxia matutinalis sardoa Italy (Sardegna);5.00
Anoxia orientalis Greece;3.00
Anoxia pilosa S Russia;2.00
Anthaxia anatolica lucidiceps Tadzhikistan;3.00
Anthaxia bicolor NW Caucasus 10ex;16.00
Anthaxia brevis NW Caucasus;3.50
Anthaxia corinthia Greece;1.50
Anthaxia discicollis Greece;3.50
Anthaxia fulgidipennis Spain;2.00
Anthaxia hypomelaena Spain;2.50
Anthaxia ignipennis Spain;3.00
Anthaxia kiesenwetteri S Turkey;5.00
Anthaxia masculina Turkey;4.00
Anthaxia muliebris Turkey;3.00
Anthaxia mysteriosa Greece;4.00
Anthaxia nigrojubata NW Caucasus;2.00
Anthaxia nigrojubata NW Turkey;3.00
Anthaxia olympica Turkey;4.00
Anthaxia polychloros NW Caucasus;1.50
Anthaxia praeclara Israel;2.00
Anthaxia reticulata SE Siberia;2.00
Anthaxia scutellaris Italy;2.50
Anthaxia sponsa S Turkey;6.00
Anthaxia thalassophila Italy;2.50
Anthaxia umbellatarum Spain;1.00
Anthocharis cardamines alexandra Kirgizstan (N Kirgizsky Mt. rng.) f;6.00
Anthocharis cardamines alexandra Kirgizstan (N Kirgizsky Mt. rng.) m;3.00
Anthocharis cardamines progressa SW Siberia (S Ural Mts.) m;2.00
Anthocharis midea midea USA f;12.00
Anthonomus pomorum C Russia;1.00
Anthophagus abbreviatus C Russia;1.50
Anthophagus bicornis Italy;2.50
Anthophagus fauveli capra Italy;4.00
Anthophagus omalinus N Russia;2.00
Anthracocentrus arabicus Arab. Emirates male 45mm;90.00
Anthracocentrus arabicus Arab. Emirates male 55mm;140.00
Anthracus consputus SW Siberia;2.50
Anthrenus pimpinellae S Ukraine;1.50
Anthypna carceli Italy;4.00
Antipa macropus Armenia;3.00
Antipa silensis Uzbekistan;2.50
Antocharis decorata China (Gansu prov.) f;24.00
Apatophysis baeckmanniana Kirgizstan male A-;6.00
Apatophysis pawlowskii S Uzbekistan male;25.00
Apatura here here China (N Sichuan prov.) mA-;8.00
Apatura ilia praeclara Far East of Russia (Amur reg. ) m ((vkt-1));4.00
Apatura ilia ussuriensis Far East of Russia (S Primorie reg. ) m ((ak-1));5.00
Apatura iris amurensis Far East of Russia (S Primorje reg.) mA-;3.00
Apatura iris xanthina China (N Sichuan prov.) f;20.00
Apatura iris xanthina China (N Sichuan prov.) m;9.00
Apatura laverna China (N Sichuan) fA-;12.00
Apatura laverna China (N Sichuan) mA-;6.00
Apentanodes buettikeri Arab. Emirates;4.00
Aphanthopus hyperanthus hyperanthus C Russia m;1.50
Aphantopus arvensis campana China (N Sichuan prov.) m;3.00
Aphantopus hyperantus ocellata Far east of Russia (Amur reg.) m;1.00
Aphodius Acrossus depressus NE Kazakhstan;1.00
Aphodius Acrossus luridus Kirgizstan;1.00
Aphodius Acrossus ritsemai NW India;3.00
Aphodius Acrossus rufipes S Siberia 10ex;5.00
Aphodius Agolius takin China (N Sichuan);3.00
Aphodius Agrilinus ater Belgium;2.00
Aphodius Agrilinus borealis Germany A-;1.50
Aphodius Agrilinus nemoralis Czech;1.50
Aphodius Agrilinus vittatus mundus S Siberia;1.50
Aphodius Agrilinus vittatus tjanshanicus Tadzhikistan 10ex;12.00
Aphodius Amidorus subsericeus SE Kazakhstan A-;1.50
Aphodius Ammoecius franzi Morocco;5.00
Aphodius Aphodius elegans China (N Sichuan);2.50
Aphodius Aphodius fimetarius S Siberia;1.00
Aphodius attritus Vietnam;3.50
Aphodius Biralus menetriesi S Uzbekistan;2.50
Aphodius Biralus satellitius Spain;2.00
Aphodius Bodilus gregarius NW Kazakhstan;1.50
Aphodius Bodilus hydrochoeris tataricus S Russia;2.00
Aphodius Bodilus ictericus SW Ukraine;1.50
Aphodius Bodilus immundus SW Ukraine;2.00
Aphodius Bodilus lugens S Ukraine;1.00
Aphodius Bodilus rufus NW Caucasus;1.50
Aphodius Bodilus scybalarius France;2.50
Aphodius Bodilus sordidus SW Ukraine;1.50
Aphodius Calamosternus granarius NW Kazakhstan;1.00
Aphodius Calamosternus lividus W Kazakhstan;2.00
Aphodius Calamosternus spinosus Uzbekistan;4.00
Aphodius Calamosternus sublimbatus Far East of Russia;2.50
Aphodius castaneus Morocco;1.50
Aphodius Chilothorax clathratus W Turkmenistan;3.00
Aphodius Chilothorax comma S Siberia 10ex;16.00
Aphodius Chilothorax distinctus SW Siberia;2.00
Aphodius Chilothorax gussakovskii S Uzbekistan;6.00
Aphodius Chilothorax melanostictus SW Siberia;1.00
Aphodius Chilothorax melanostictus SW Ukraine 10ex;6.00
Aphodius Chilothorax pamirensis Tadzhikistan (E Pamir);3.00
Aphodius Chilothorax scuticollis Kirgizstan 10ex;16.00
Aphodius chinensis Vietnam;3.00
Aphodius Colobopterus brignolii W Caucasus;4.00
Aphodius Colobopterus erraticus Tadzhikistan;1.00
Aphodius Colobopterus propraetor Far East of Russia;2.50
Aphodius dentatus Morocco;2.50
Aphodius elongatulus Vietnam;2.50
Aphodius Erytus aequalis S Uzbekistan;4.50
Aphodius Erytus bucharicus S Uzbekistan;3.00
Aphodius Erytus klugi Uzbekistan;4.00
Aphodius Erytus pruinosus Turkmenistan A-;2.00
Aphodius Esymus alaiensis Uzbekistan;2.50
Aphodius Esymus stereotypus Uzbekistan;2.50
Aphodius Eudolus quadriguttatus S Uzbekistan;2.00
Aphodius Eupleurus antiquus S Siberia;2.00
Aphodius Eupleurus subterraneus S Siberia;1.50
Aphodius foetidus Spain;1.50
Aphodius gregori NE India;3.00
Aphodius inylchekensis E Kirgizstan;5.00
Aphodius kukunorensis China (C Thibet);3.50
Aphodius lineolatus Italy;2.00
Aphodius Liothorax kraatzi NE Kazakhstan;1.50
